bin,avg_confidence,accuracy,count
3,0.33201135508057805,0.3333333333333333,3
4,0.44270074908631457,0.23076923076923078,13
5,0.583948485709249,0.5,2
6,0.6578656702931007,0.45454545454545453,22
7,0.7598877603947,0.7310344827586207,145
8,0.8700963586753403,0.8804483188044832,803
9,0.9879281660213787,0.9886656019874013,45084
