model,feature_view,error,validation_accuracy,validation_macro_f1,validation_macro_precision,validation_macro_recall,validation_multiclass_brier
linear_svc_calibrated_sparse,text_categorical_numeric,,0.9824220269114101,0.49884749515856097,0.5844467181421968,0.5017720606515711,0.03235193947392156
logistic_tabular_only,categorical_numeric,,0.8178035311503461,0.46688786886405215,0.507053544344394,0.5596620234918273,0.26772161600555483
logistic_text_only,text_only,,0.5483394259936222,0.3418786426433975,0.41258571434916713,0.44896835717061834,0.8576044314421438
logistic_sparse_combined,text_categorical_numeric,,0.5405421171346348,0.2711102033492082,0.26081773231895095,0.5432106459783411,0.8106866261760121
dummy_prior,all_features_ignored,,0.5301781130901454,0.17324065367118205,0.13254452827253635,0.25,0.5160005706806394
