label,precision,recall,f1,support
Commentaire,0.5,0.01195219123505976,0.023346303501945526,251
Information,0.999635634906176,1.0,0.9998177842565598,21948
Plainte,0.4,0.004842615012106538,0.009569377990430622,413
Requete,0.972744243932794,0.9994884910485934,0.9859350362661621,23460
