group,count,accuracy,macro_f1
7,8911,0.9851868477163057,0.5069020929776029
8,9048,0.9859637488947833,0.5153579274407918
9,8163,0.986034546122749,0.4967093768200349
10,7534,0.986859569949562,0.5047820400923977
11,6848,0.9862733644859814,0.4966235632183908
12,5568,0.9811422413793104,0.5029509540142643
